take,label,device,side,ms,timestamp,serial,packet,p0,p1,p2,p3,p4,p5,ax,ay,az,gx,gy,gz,qw,qx,qy,qz
1,idle_hold,0,L,28.5,1783832543867,12184,0,221,222,220,256,222,220,-0.0347,0.0049,1.0220,0.00,-1.59,0.12,0.2722,-0.0057,0.0057,0.4193
1,idle_hold,0,L,28.6,1783832543867,12184,1,221,222,220,256,223,222,-0.0337,0.0063,1.0098,0.06,-1.71,0.12,0.2722,-0.0059,0.0056,0.4193
1,idle_hold,0,L,46.1,1783832543886,12185,0,221,222,220,256,222,221,-0.0317,0.0073,1.0068,-0.12,-1.65,0.12,0.2721,-0.0056,0.0058,0.4193
1,idle_hold,0,L,46.1,1783832543886,12185,1,221,223,220,256,223,221,-0.0308,0.0073,1.0122,-0.06,-1.53,0.12,0.2721,-0.0054,0.0056,0.4194
1,idle_hold,0,L,49.2,1783832543910,12186,0,221,223,220,256,222,222,-0.0322,0.0049,1.0137,-0.06,-1.53,0.06,0.2721,-0.0056,0.0054,0.4194
1,idle_hold,0,L,49.2,1783832543910,12186,1,220,222,220,256,222,221,-0.0308,0.0049,1.0088,-0.12,-1.65,0.06,0.2721,-0.0057,0.0051,0.4194
1,idle_hold,0,L,76.1,1783832543929,12187,0,221,222,220,256,223,221,-0.0313,0.0063,1.0068,-0.12,-1.71,0.06,0.2721,-0.0057,0.0052,0.4194
1,idle_hold,0,L,76.1,1783832543929,12187,1,221,222,220,256,222,222,-0.0317,0.0049,1.0078,0.00,-1.59,0.12,0.2721,-0.0059,0.0052,0.4194
1,idle_hold,0,L,78.8,1783832543949,12188,0,220,223,219,256,223,220,-0.0327,0.0083,1.0078,0.00,-1.59,0.12,0.2721,-0.0058,0.0055,0.4194
1,idle_hold,0,L,78.8,1783832543949,12188,1,220,223,219,256,222,221,-0.0337,0.0059,1.0127,0.00,-1.53,0.12,0.2721,-0.0059,0.0054,0.4194
1,idle_hold,0,L,194.1,1783832543968,12189,0,220,222,220,256,222,221,-0.0356,0.0059,1.0098,-0.06,-1.59,0.06,0.2721,-0.0061,0.0054,0.4194
